feature,score
HLA-DPB1,21.104367683274816
LBH,21.080774406982304
BRIP1,21.06447906855282
SNRNP40,20.998989552218465
C1S,20.993538425650662
KLRC4,20.99049941228002
RP1-8B22.1,20.98550355673102
ARL16,20.970478575867325
DRAM2,20.905276706778928
RPS8,20.87765115150543
SERTAD3,20.791690513992183
VNN2,20.767224909403993
FGFR1OP,20.73311602286994
PTMA,20.72270080081741
KAT5,20.6748088279099
LINC00636,20.65924181035969
TRAPPC5,20.649115989542167
RASGEF1C,20.644791953402546
GNB2,20.62524527784094
NFE2L2,20.608277591089276
SLC7A2,20.59849924494565
PDAP1,20.562939571401564
EFHD2,20.556088494242992
NTAN1,20.54526314802021
IMPDH2,20.541403072608322
LIG1,20.535194260930226
C1QA,20.52788369283507
STIP1,20.5164167856715
CTNNBL1,20.46779515907609
SPI1,20.43488766346908
RPL29,20.419148011494485
TALDO1,20.41563614398637
GLTSCR1,20.412906368697456
S100A1,20.39120074487063
ARF5,20.3769667675355
LINC00963,20.350032913549313
LOC100505564,20.34929967314584
MRPL12,20.338555899703536
COL15A1,20.326272820418048
C15orf62,20.31043392179853
NDUFS3,20.30592386136204
CYC1,20.253565069235908
ARRDC1,20.217890565075248
RNASE1,20.167323893280887
CDC26,20.16383980658388
GRHPR,20.12829121804687
AC064852.4,20.089600450953323
ARHGEF17,20.069663284612584
MRPL34,20.036393270145748
CFL1,20.027200063101116
TINAGL1,20.021309791975565
ANGPTL3,20.013971140716023
TIMM44,20.01195280707454
CYBRD1,20.008794325218485
CTNNA1,19.985712182877013
SIVA1,19.955138460502106
MRPS18B,19.901255348872514
PPBP,19.839076720898298
UQCRC1,19.808165706042292
TCF7L1,19.802828345749198
PFN1,19.77848211094279
ZBTB33,19.76218535033713
RAC2,19.76123777309698
GSTZ1,19.757016350404058
TRAK1,19.754743499124885
OXA1L,19.74812172882453
SUZ12,19.727762887747677
ALOX5AP,19.723329899423778
ACAA1,19.71901683936501
KIAA0196,19.718100951747477
