gene,score
EPB41L2,21.957774013250702
CD37,21.952206538493854
CARM1,21.84520746831874
TNNT3,21.80834866294631
CDK8,21.767199368463867
ANP32B,21.734635911108867
CSF2RA,21.73159406676049
SAMD12,21.726401851760457
SFXN1,21.683504875754572
ATP6,21.6772278600382
RPL23,21.618789858427895
GIMAP1,21.61436285137831
NQO2,21.554542470277795
LOC100996634,21.50840848471013
FLYWCH2,21.499884251554587
TMSB4X,21.484989472554094
ABHD17A,21.474991990543952
GNA11,21.471252973472986
GPSM3,21.471069695763617
CTDSPL2,21.469672128295304
CTSW,21.425535570409043
BAG4,21.425290687740027
NFASC,21.39718553173584
CDH5,21.324477271273274
MIR7110,21.287002670519712
SEC13,21.276810323205517
AQP2,21.24170624084913
CSNK1D,21.215303618619238
NSFL1C,21.212202889874135
RTN3,21.182056726778338
METRN,21.157301725293333
BSG,21.1566799148966
CD44,21.145825050194457
CENPJ,21.138561575788543
UBE4B,21.129281512098874
TM6SF1,21.11529447170623
HLA-DPB1,21.104367683272468
LBH,21.080774406984137
BRIP1,21.064479068552334
SNRNP40,20.99898955221858
C1S,20.99353842564988
KLRC4,20.99049941228145
RP1-8B22.1,20.98550355673089
ARL16,20.97047857586433
DRAM2,20.905276706778587
RPS8,20.87765115150218
SERTAD3,20.79169051399345
VNN2,20.767224909403726
FGFR1OP,20.733116022866295
PTMA,20.722700800816543
KAT5,20.674808827908336
LINC00636,20.65924181035978
TRAPPC5,20.64911598954289
RASGEF1C,20.644791953402596
GNB2,20.625245277844535
NFE2L2,20.608277591088815
SLC7A2,20.598499244945675
PDAP1,20.562939571401657
EFHD2,20.55608849424164
NTAN1,20.545263148024745
IMPDH2,20.541403072610393
LIG1,20.53519426092697
C1QA,20.52788369283399
STIP1,20.51641678567122
CTNNBL1,20.467795159071457
SPI1,20.434887663467475
RPL29,20.419148011494325
TALDO1,20.41563614400129
GLTSCR1,20.412906368695168
S100A1,20.391200744874794
ARF5,20.376966767532235
LINC00963,20.350032913548155
LOC100505564,20.349299673146017
MRPL12,20.33855589970371
COL15A1,20.326272820418737
C15orf62,20.31043392179953
NDUFS3,20.305923861359588
CYC1,20.253565069231428
ARRDC1,20.217890565076836
RNASE1,20.167323893281807
CDC26,20.163839806582658
GRHPR,20.128291218050517
AC064852.4,20.089600450953576
ARHGEF17,20.069663284605852
MRPL34,20.03639327014579
CFL1,20.027200063099894
TINAGL1,20.021309791975945
ANGPTL3,20.01397114071599
TIMM44,20.011952807077297
CYBRD1,20.008794325218425
CTNNA1,19.985712182876917
SIVA1,19.955138460497437
MRPS18B,19.90125534886976
PPBP,19.839076720898095
UQCRC1,19.808165706041944
TCF7L1,19.802828345744043
PFN1,19.778482110939617
ZBTB33,19.76218535033643
RAC2,19.761237773098404
GSTZ1,19.757016350404978
TRAK1,19.754743499124796
OXA1L,19.74812172882097
SUZ12,19.72776288774745
ALOX5AP,19.72332989942512
ACAA1,19.719016839362848
KIAA0196,19.718100951747044
CBLN1,19.70410454575431
PPIB,19.670125275178204
TPO,19.65444554592817
ST3GAL4,19.6536790713507
YBX1,19.645411357784706
PCDH10,19.595721167337153
CYB5B,19.582415082994032
ZNF259P1,19.577333717122055
FOXS1,19.54498500052174
MTURN,19.53379911486192
SOCS2,19.53342321841663
LINC01085,19.506729901767955
RGS18,19.50003210325977
CD200R1,19.49362257743375
TCEAL2,19.493176320352553
SGCA,19.451352989865406
TFDP1,19.424918454015167
ARF6,19.42335123460361
IRF2BP1,19.4184676637467
ACTR1B,19.41411832926562
OAZ1,19.40346871198908
SAP30L,19.39537380285352
SOX17,19.386087351439905
PHF10,19.384341082998855
ARRB2,19.384248098538716
SLC27A4,19.37324331096776
RGCC,19.362851370212667
CES2,19.316925092706157
MPV17,19.31362465414819
CTC-462L7.1,19.306361268075364
LOC101928583,19.30363152552922
CTNNB1,19.261007077096046
NKTR,19.256525952736713
GABARAPL1,19.24228004714973
AUP1,19.231129895641285
DEFB114,19.229641019495904
RALB,19.22660310320046
DNAJA4,19.221750650213302
CORO1C,19.22025475718685
IGFLR1,19.213281494003756
RP11-194N12.2,19.193700504342154
SERPINH1,19.1853163248766
DCTN2,19.167404663251613
ANKRD30B,19.149352583506186
LITAF,19.138230669860235
PSMC4,19.135938544723523
CD52,19.11100791302932
CLEC10A,19.10129028189224
LGALS1,19.09726498691685
YWHAE,19.07538480643961
LOC101928323,19.074192077773024
PSG4,19.073294707707866
PRCC,19.062005059542656
MINOS1-NBL1,19.050489441103284
EIF5A,19.04388948503025
HLA-DRB1,19.04268403989535
TCF15,19.02601958692181
TRMT10B,19.02330532320213
PPP4C,18.981426328528553
RNF167,18.974036930084925
NCL,18.943190833616555
TSC22D3,18.908403168474837
ZDHHC20,18.90697216127374
MRPL54,18.899141336903252
AGPS,18.88817746997174
NRN1,18.883205601704212
BTN3A1,18.87527220509392
SAR1B,18.86706605842081
EIF2S3,18.860914192931304
ORMDL2,18.850144963132777
MIR4784,18.838501266784206
FAM78A,18.830959997243745
CITED2,18.8025398489866
WBP11,18.797877564969227
CLEC4A,18.787049513035388
IMPA2,18.768609623733205
RP11-329B9.3,18.762703675612297
